index,RSI_60_40,PIPS_sum,loss,profit,total_count,Profit_Percent
1468,"84,80,84,84,80",15.2,0,1,1,100
1469,"52,44,48,32,40",15.18333333,0,1,1,100
1470,"36,24,20,24,28",15.14,0,1,1,100
1471,"44,40,36,24,32",15.10166667,0,1,1,100
1472,"44,36,24,32,32",15.05166667,0,1,1,100
1473,"40,40,36,24,32",15.04833333,0,1,1,100
1474,"52,48,40,28,28",15.04333333,0,1,1,100
1475,"44,48,48,64,60",15.04166667,0,1,1,100
1477,"60,64,48,40,44",15.00333333,0,1,1,100
1478,"44,52,60,76,76",14.98833333,0,1,1,100
1479,"72,68,72,84,80",14.98166667,0,1,1,100
1481,"44,32,28,32,36",14.975,0,1,1,100
1482,"64,48,56,64,60",14.97166667,0,1,1,100
1483,"40,36,44,32,36",14.91666667,0,2,2,100
1484,"36,28,32,24,32",14.89833333,0,1,1,100
1486,"52,52,56,72,72",14.88666667,0,1,1,100
1487,"52,48,36,32,44",14.88333333,0,1,1,100
1488,"36,28,20,20,20",14.87833333,0,1,1,100
1489,"48,44,48,64,60",14.865,0,1,1,100
1490,"44,52,60,72,68",14.85166667,0,1,1,100
1491,"56,44,40,44,44",14.835,0,1,1,100
1492,"48,40,40,28,32",14.82666667,0,1,1,100
1494,"24,24,28,28,28",14.80833333,0,1,1,100
1495,"64,72,72,72,64",14.8,0,1,1,100
1496,"36,32,28,16,20",14.78833333,0,1,1,100
1498,"44,24,20,20,28",14.73666667,0,1,1,100
1500,"68,60,72,72,68",14.725,0,1,1,100
1501,"52,60,60,76,68",14.72166667,0,1,1,100
1503,"68,72,80,72,68",14.71833333,0,1,1,100
1504,"48,48,40,28,40",14.715,0,1,1,100
1507,"28,16,20,16,24",14.66,0,1,1,100
1508,"52,44,68,64,64",14.66,0,1,1,100
1510,"48,40,44,40,44",14.63333333,0,2,2,100
1512,"32,40,32,24,28",14.58,0,1,1,100
1513,"28,40,36,28,36",14.56833333,0,1,1,100
1514,"60,68,80,76,76",14.56333333,0,1,1,100
1518,"40,40,20,20,24",14.52333333,0,1,1,100
1519,"36,40,52,60,60",14.515,0,1,1,100
1520,"72,76,84,84,80",14.50666667,0,1,1,100
1521,"28,24,36,32,36",14.50666667,0,1,1,100
1522,"56,40,40,32,36",14.48666667,0,1,1,100
1523,"44,32,36,28,40",14.465,0,1,1,100
1524,"48,48,64,68,60",14.44166667,0,1,1,100
1525,"40,60,60,68,64",14.44,0,1,1,100
1526,"52,48,56,64,64",14.41,0,2,2,100
1528,"72,72,68,84,72",14.405,0,1,1,100
1529,"48,44,32,36,40",14.39666667,3,1,4,25
1530,"64,60,68,76,68",14.38333333,0,1,1,100
1531,"20,32,32,28,28",14.35166667,0,1,1,100
1532,"52,52,56,72,68",14.33166667,0,1,1,100
1533,"48,60,60,68,68",14.32833333,0,1,1,100
1534,"60,56,52,52,64",14.32,0,1,1,100
1538,"40,52,56,72,72",14.24166667,0,1,1,100
1539,"44,44,56,60,56",14.22833333,0,2,2,100
1540,"72,80,80,84,84",14.18,0,1,1,100
1541,"72,68,60,72,68",14.17833333,0,1,1,100
1542,"68,72,68,80,64",14.16833333,0,1,1,100
1544,"44,44,56,68,60",14.15666667,0,1,1,100
1545,"76,72,80,84,80",14.14833333,0,1,1,100
1546,"28,40,36,44,44",14.13,0,1,1,100
1550,"36,36,44,36,40",14.08166667,0,1,1,100
1551,"36,24,28,28,28",14.04333333,0,1,1,100
1552,"64,76,80,84,72",14.03571429,0,1,1,100
1553,"56,60,60,72,60",14.03,0,1,1,100
1554,"68,72,64,72,64",14.02666667,0,1,1,100
1555,"52,60,64,60,56",14.01666667,0,1,1,100
1557,"56,64,80,80,76",13.95666667,0,1,1,100
1559,"32,32,28,32,36",13.91166667,0,1,1,100
1560,"28,28,28,20,32",13.90333333,0,1,1,100
1561,"44,56,56,60,60",13.895,0,1,1,100
1562,"40,32,28,20,24",13.89333333,0,1,1,100
1563,"52,44,60,64,60",13.88666667,0,1,1,100
1564,"68,48,40,28,32",13.88333333,0,1,1,100
1565,"60,60,56,44,48",13.88,0,2,2,100
1566,"36,52,40,32,40",13.87666667,0,1,1,100
1567,"40,56,68,64,60",13.85333333,0,1,1,100
1568,"56,64,76,68,64",13.85166667,0,1,1,100
1569,"56,52,44,28,32",13.84833333,0,1,1,100
1570,"52,44,44,28,32",13.845,0,1,1,100
1571,"56,60,56,72,64",13.82833333,0,1,1,100
1572,"44,52,56,56,52",13.81166667,0,1,1,100
1573,"52,64,56,56,56",13.79833333,0,1,1,100
1574,"48,44,40,36,44",13.73833333,5,2,7,28
1577,"48,44,56,76,64",13.69666667,0,1,1,100
1579,"52,48,64,64,64",13.67833333,0,1,1,100
1580,"68,68,60,80,72",13.67333333,0,1,1,100
1581,"44,48,40,40,40",13.63833333,8,3,11,27
1582,"48,44,52,64,56",13.63166667,0,1,1,100
1586,"36,32,36,68,64",13.56166667,0,1,1,100
1587,"60,68,64,76,64",13.56166667,0,1,1,100
1588,"48,52,48,60,60",13.54666667,1,4,5,80
1590,"52,52,52,76,64",13.49166667,0,1,1,100
1591,"40,40,24,32,32",13.49,0,1,1,100
1592,"52,60,72,64,64",13.48833333,0,1,1,100
1593,"56,60,72,76,64",13.475,0,1,1,100
1595,"48,60,48,72,68",13.45666667,0,1,1,100
1596,"24,24,16,16,28",13.44333333,0,1,1,100
1599,"44,44,32,36,40",13.39166667,0,2,2,100
1600,"32,40,40,28,32",13.37,0,1,1,100
1601,"48,44,60,60,56",13.36833333,0,1,1,100
1602,"72,80,64,68,68",13.355,0,1,1,100
1603,"64,36,28,32,36",13.355,0,1,1,100
1604,"40,52,56,64,60",13.355,0,1,1,100
1607,"64,56,64,76,76",13.33833333,0,1,1,100
1609,"56,48,40,36,36",13.30333333,0,1,1,100
1610,"40,20,20,24,24",13.30333333,0,1,1,100
1611,"52,60,64,64,56",13.28666667,0,1,1,100
1612,"80,68,84,72,68",13.26,0,1,1,100
1616,"56,56,40,36,44",13.22666667,0,1,1,100
1617,"64,60,52,48,48",13.21833333,0,1,1,100
1618,"60,48,52,72,60",13.19,0,1,1,100
1621,"56,44,56,72,64",13.18,0,1,1,100
1622,"76,72,68,76,72",13.17333333,0,1,1,100
1625,"68,56,52,48,48",13.14,0,1,1,100
1626,"60,64,48,44,48",13.12666667,0,1,1,100
1628,"52,60,52,40,44",13.04333333,0,1,1,100
1630,"64,52,44,40,44",12.99166667,0,1,1,100
1631,"40,44,28,28,28",12.97333333,0,1,1,100
1633,"60,60,56,44,44",12.96166667,0,1,1,100
1636,"52,64,68,64,60",12.93166667,0,1,1,100
1640,"68,60,80,72,72",12.88333333,0,1,1,100
1641,"64,60,56,48,48",12.86833333,0,1,1,100
1642,"56,40,32,32,32",12.83833333,0,1,1,100
1643,"72,64,76,68,64",12.83666667,0,1,1,100
1646,"48,44,48,68,68",12.78666667,0,1,1,100
1647,"36,44,52,64,60",12.78333333,0,1,1,100
1651,"28,24,24,16,28",12.72666667,0,1,1,100
1652,"68,80,84,72,72",12.72666667,0,1,1,100
1653,"48,56,64,64,56",12.71333333,0,1,1,100
1655,"28,28,20,24,28",12.69,0,1,1,100
1656,"64,68,76,80,80",12.67666667,0,1,1,100
1657,"56,48,32,36,40",12.655,0,1,1,100
1658,"52,52,36,32,36",12.64666667,0,1,1,100
1659,"64,68,64,80,60",12.645,0,1,1,100
1660,"48,40,36,36,32",12.64333333,0,1,1,100
